01.010.853/0001-77,10.444.378-2,I.M. COMERCIAL DE ALIMENTOS LTDA,SIM,"4711302 - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS",BAIXADO - NÃO HABILITADO,2019-11-25,2009-03-24
07.082.806/0001-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.793.429/0001-34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.813.902/0001-96,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.081.149/0001-91,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52.645.009/0001-53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.706.155/0001-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01.634.373/0001-87,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.557.369/0001-49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
03.577.587/0001-94,NULL,NULL,NULL,NULL,NULL,NULL,NULL
06.278.695/0001-54,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19.658.020/0001-82,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53.687.216/0001-33,NULL,NULL,NULL,NULL,NULL,NULL,NULL
00.296.375/0001-40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10.419.620/0001-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33.000.076/0001-76,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10.803.716/0001-80,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01.871.661/0001-55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96.704.127/0001-60,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61.536.744/0001-10,10.210.904-4,COOPERATIVA AGR COTIA COOP CENTRAL,SIM,"0121101 - HORTICULTURA, EXCETO MORANGO",BAIXADO - NÃO HABILITADO,2009-03-22,1988-01-08
01.092.071/0001-24,10.114.689-2,CORAL ADMINISTRACAO E SERVICOS LTDA,NÃO,8121400 - LIMPEZA EM PRÉDIOS E EM DOMICÍLIOS,ATIVO - HABILITADO,2007-12-20,1990-06-24
93.296.127/0001-80,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.395.040/0001-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76.715.309/0001-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
08.378.985/0001-03,10.415.198-6,COMERCIAL DE ALIMENTOS SHEYKINA LTDA - ME,SIM,4639701 - COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL,SUSPENSO - NÃO HABILITADO,2014-02-19,2007-08-21
54.945.902/0001-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90.134.115/0001-61,NULL,NULL,NULL,NULL,NULL,NULL,NULL
06.974.360/0001-70,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01.374.548/0001-64,NULL,NULL,NULL,NULL,NULL,NULL,NULL
09.257.039/0001-63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
05.954.423/0001-64,NULL,NULL,NULL,NULL,NULL,NULL,NULL
05.614.974/0001-89,NULL,NULL,NULL,NULL,NULL,NULL,NULL
08.748.299/0001-79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47.709.365/0001-53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38.011.664/0001-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55.023.212/0001-86,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50.607.043/0001-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
03.310.865/0001-42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
03.364.610/0001-62,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11.085.724/0001-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60.528.437/0001-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44.367.522/0001-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59.451.724/0001-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL
00.385.181/0001-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61.801.056/0001-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.128.849/0001-94,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77.353.662/0001-70,NULL,NULL,NULL,NULL,NULL,NULL,NULL
